imdbID,genre,imdbRating
Carmencita,"Documentary, Short",5.9
Blacksmith Scene,Short,6.2
Pauvre Pierrot,"Animation, Comedy, Short",6.7
Edison Kinetoscopic Record of a Sneeze,"Documentary, Short",5.9
Alice in Wonderland,"Fantasy, Short",6.3
Life of an American Fireman,"Short, Action",6.4
The Great Train Robbery,"Short, Western",7.4
The Music Lover,"Short, Comedy, Music",6.9
Fairyland: A Kingdom of Fairies,"Short, Adventure, Fantasy",7.3
The Sick Kitten,"Short, Comedy, Family",5.9
Faust et Mï¿½phistophï¿½lï¿½s,Short,5.3
Rescued by Rover,"Short, Drama, Family",6.7
The Voyage Across the Impossible,"Short, Adventure, Fantasy",7.7
The Land Beyond the Sunset,"Short, Drama, Fantasy",7.1
The Electric Hotel,"Animation, Short",6.7
New York Subway,"Short, Documentary",5.7
The '?' Motorist,"Fantasy, Short, Comedy",6.8
Dream of a Rarebit Fiend,"Short, Fantasy",6.7
The 400 Tricks of the Devil,"Short, Fantasy",6.8
Humorous Phases of Funny Faces,"Animation, Short, Comedy",6.2
The Story of the Kelly Gang,"Biography, Crime, Drama",6.3
The Red Spectre,"Short, Fantasy",6.5
A Fantasy,"Animation, Short, Fantasy",6.9
The Country Doctor,"Short, Drama",6.6
A Corner in Wheat,"Short, Drama",6.6
The Lonely Villa,"Short, Crime, Drama",6.1
The Sealed Room,"Short, Drama",6.1
Those Awful Hats,"Comedy, Short",6.3
The Woman Always Pays,"Short, Drama",6.6
Frankenstein,"Short, Fantasy, Horror",6.5
In the Border States,"Short, Drama, War",6.5
The Unchanging Sea,"Drama, Short",6.5
The Wonderful Wizard of Oz,"Adventure, Fantasy, Short",5.7
The Revenge of a Kinematograph Cameraman,"Animation, Short, Comedy",7.9
Her Crowning Glory,"Comedy, Short",5.7
The Lonedale Operator,"Short, Drama, Romance",6.6
"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics","Animation, Short, Comedy",7.3
The Miser's Heart,"Short, Crime, Drama",6.4
A Beast at Bay,"Short, Drama",5.6
Cleopatra,"Drama, History",5.1
The Conquest of the Pole,"Short, Adventure, Sci-Fi",6.9
The Burglar's Dilemma,"Short, Drama",6.1
Dante's Inferno,"Adventure, Drama, Fantasy",6.9
The Mender of Nets,"Short, Romance",6.1
The Musketeers of Pig Alley,"Short, Crime, Drama",6.7
The New York Hat,"Short, Drama",6.5
The Painted Lady,"Short, Drama",6.0
The Life and Death of King Richard III,Drama,5.6
Trï¿½dgï¿½rdsmï¿½staren,Drama,6.0
Death's Marathon,"Short, Drama, Romance",6.2
Fantomas,"Crime, Drama",6.8
The House of Darkness,"Short, Drama",6.1
Ingeborg Holm,Drama,7.0
The Inside of the White Slave Traffic,"Short, Drama",5.7
Juve Against Fantomas,"Crime, Drama",6.6
The Dead Man Who Killed,"Crime, Drama",6.7
The Student of Prague,"Drama, Fantasy, Horror",6.5
Traffic in Souls,"Crime, Drama",6.0
The Last Days of Pompeii,"Adventure, Drama",6.1
The Avenging Conscience: or 'Thou Shalt Not Kill',"Crime, Drama",7.0
The Battle at Elderbush Gulch,"Short, Action, Western",6.4
Cabiria,"Adventure, Drama, History",6.6
Cinderella,"Fantasy, Drama",6.9
Fantomas Against Fantomas,Drama,6.6
Le faux magistrat,"Crime, Drama",6.5
Gertie the Dinosaur,"Animation, Short, Comedy",7.3
The Mysterious X,"Drama, Mystery",6.7
His Musical Career,"Short, Comedy",6.0
His New Profession,"Short, Comedy",6.1
Hypocrites,Drama,5.9
In the Land of the Head Hunters,"Drama, History",5.8
Judith of Bethulia,Drama,7.7
The Knockout,"Short, Comedy",5.9
Laughing Gas,"Short, Comedy",5.7
Mabel at the Wheel,"Short, Comedy",5.7
Mabel's Married Life,"Short, Comedy",5.8
Carmencita,"Documentary, Short",5.9
Blacksmith Scene,Short,6.2
Pauvre Pierrot,"Animation, Comedy, Short",6.7
Edison Kinetoscopic Record of a Sneeze,"Documentary, Short",5.9
Employees Leaving the Lumiï¿½re Factory,"Documentary, Short",6.9
The Arrival of a Train,"Documentary, Short",7.3
Tables Turned on the Gardener,"Comedy, Short",7.1
Baby's Dinner,"Documentary, Short",5.9
The Sea,"Documentary, Short",5.5
Dï¿½molition d'un mur,"Documentary, Short",6.4
The House of the Devil,"Short, Horror",6.8
The Conjuring of a Woman at the House of Robert Houdin,Short,6.3
A Terrible Night,"Short, Comedy",5.9
Une partie de cartes,"Short, Biography",5.1
The Bewitched Inn,"Short, Comedy",6.5
"Ella Lola, a la Trilby",Short,4.7
A Trip to the Moon,"Short, Fantasy",7.6
Cinderella,"Drama, Short",6.6
The Sign of the Cross,"Short, Fantasy",6.3
A Turn of the Century Illusionist,Short,6.6
Grandma's Reading Glass,Short,6.1
Let Me Dream Again,"Short, Comedy",5.9
The India Rubber Head,"Short, Comedy",7.2
Panorama of Esplanade by Night,"Documentary, Short",5.6
Jack and the Beanstalk,"Short, Fantasy",6.2
A Trip to the Moon,"Short, Adventure, Fantasy",8.2
Alice in Wonderland,"Fantasy, Short",6.3
Life of an American Fireman,"Short, Action",6.4
The Great Train Robbery,"Short, Western",7.4
The Music Lover,"Short, Comedy, Music",6.9
Fairyland: A Kingdom of Fairies,"Short, Adventure, Fantasy",7.3
The Sick Kitten,"Short, Comedy, Family",5.9
Faust et Mï¿½phistophï¿½lï¿½s,Short,5.3
Rescued by Rover,"Short, Drama, Family",6.7
The Voyage Across the Impossible,"Short, Adventure, Fantasy",7.7
The Land Beyond the Sunset,"Short, Drama, Fantasy",7.1
The Electric Hotel,"Animation, Short",6.7
New York Subway,"Short, Documentary",5.7
The '?' Motorist,"Fantasy, Short, Comedy",6.8
Dream of a Rarebit Fiend,"Short, Fantasy",6.7
The 400 Tricks of the Devil,"Short, Fantasy",6.8
Humorous Phases of Funny Faces,"Animation, Short, Comedy",6.2
The Story of the Kelly Gang,"Biography, Crime, Drama",6.3
The Red Spectre,"Short, Fantasy",6.5
A Fantasy,"Animation, Short, Fantasy",6.9
The Country Doctor,"Short, Drama",6.6
A Corner in Wheat,"Short, Drama",6.6
The Lonely Villa,"Short, Crime, Drama",6.1
The Sealed Room,"Short, Drama",6.1
Those Awful Hats,"Comedy, Short",6.3
The Woman Always Pays,"Short, Drama",6.6
Frankenstein,"Short, Fantasy, Horror",6.5
In the Border States,"Short, Drama, War",6.5
The Unchanging Sea,"Drama, Short",6.5
The Wonderful Wizard of Oz,"Adventure, Fantasy, Short",5.7
The Revenge of a Kinematograph Cameraman,"Animation, Short, Comedy",7.9
Her Crowning Glory,"Comedy, Short",5.7
The Lonedale Operator,"Short, Drama, Romance",6.6
"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics","Animation, Short, Comedy",7.3
The Miser's Heart,"Short, Crime, Drama",6.4
A Beast at Bay,"Short, Drama",5.6
Cleopatra,"Drama, History",5.1
The Conquest of the Pole,"Short, Adventure, Sci-Fi",6.9
The Burglar's Dilemma,"Short, Drama",6.1
Dante's Inferno,"Adventure, Drama, Fantasy",6.9
The Mender of Nets,"Short, Romance",6.1
The Musketeers of Pig Alley,"Short, Crime, Drama",6.7
The New York Hat,"Short, Drama",6.5
The Painted Lady,"Short, Drama",6.0
The Life and Death of King Richard III,Drama,5.6
Trï¿½dgï¿½rdsmï¿½staren,Drama,6.0
Death's Marathon,"Short, Drama, Romance",6.2
Fantomas,"Crime, Drama",6.8
The House of Darkness,"Short, Drama",6.1
Ingeborg Holm,Drama,7.0
The Inside of the White Slave Traffic,"Short, Drama",5.7
Juve Against Fantomas,"Crime, Drama",6.6
The Dead Man Who Killed,"Crime, Drama",6.7
The Student of Prague,"Drama, Fantasy, Horror",6.5
Traffic in Souls,"Crime, Drama",6.0
The Last Days of Pompeii,"Adventure, Drama",6.1
The Avenging Conscience: or 'Thou Shalt Not Kill',"Crime, Drama",7.0
The Battle at Elderbush Gulch,"Short, Action, Western",6.4
Cabiria,"Adventure, Drama, History",6.6
Cinderella,"Fantasy, Drama",6.9
Fantomas Against Fantomas,Drama,6.6
Le faux magistrat,"Crime, Drama",6.5
Gertie the Dinosaur,"Animation, Short, Comedy",7.3
The Mysterious X,"Drama, Mystery",6.7
His Musical Career,"Short, Comedy",6.0
His New Profession,"Short, Comedy",6.1
Hypocrites,Drama,5.9
In the Land of the Head Hunters,"Drama, History",5.8
Judith of Bethulia,Drama,7.7
The Knockout,"Short, Comedy",5.9
Laughing Gas,"Short, Comedy",5.7
Mabel at the Wheel,"Short, Comedy",5.7
Mabel's Married Life,"Short, Comedy",5.8
